85 83 84 86 73 67 83 78 81 83 85 88 78 81 83 90 86 94 87 89 75 88 95 66 76 88 91 79 68 83 86 91 82.619
78 83 84 90 85 88 91 82 88 91 85 90 82 75 80 84 79 94 91 86 87 89 94 76 87 85 85 60 82 94 82 87 84.392
91 79 87 93 84 63 83 81 86 83 95 98 79 61 92 71 90 92 94 95 85 92 89 79 82 88 79 83 77 72 83 84 86.842
84 84 79 92 88 82 93 91 96 93 93 92 80 95 84 92 91 86 74 90 86 92 92 71 82 90 76 78 71 85 87 86 85.359
76 88 84 95 92 64 85 84 76 85 97 89 91 60 78 62 89 94 86 95 90 91 89 78 92 83 79 74 86 93 89 85 86.336
66 60 74 61 62.45186056 61 81 72 76 81 60 72.82588447 62.5802324 36 81.12837184 60 60 76 60 63.09627888 62 85 60 60 60 60 60 62 45 62 63 84 63.757
85 88 86 87 83 62 83 86 80 83 29 77 60 60 0 75 61 43 52 60 0 77 49.15773665 71.91702707 73 60 0 0 0 60 0 67 51.905
88 60 73 60 64 60 65 71 86 65 60 65.38779377 60 60 77 82 60 60 60 60 60 78 42 60 65 76 65 64 60 68 77 69 66.35
88 92 87 84 87 70 78 97 85 78 76 79 74 77 70 94 60 84 60 65 60 76 84 62 73 82 60 60 60 67 60 78 74.468
82 82 84 100 96 90 93 88 93 93 100 98 85 84 80 88 90 94 99 92 82 91 94 75 88 83 92 82 90 94 89 91 90.282
85 85 85 83 90 81 73 80 90 73 70 72 70 90 83 83 78 67 85 88 83 89 90 84 82 84 90 60 80 95 85 93 80.936
85 87 91 96 95 86 92 84 94 92 94 97 99 98 82 86 97 97 94 96 92 93 95 82 86 92 98 88 90 94 91 95 91.332
82 80 89 100 95 81 94 79 97 94 89 100 94 80 86 96 85 98 98 92 92 93 96 81 87 93 93 83 90 97 88 89 88.528
80 80 86 86 88 68 88 82 91 88 77 76 80 98 90 80 83 84 90 90 85 90 96 66 78 88 92 83 74 74 80 85 82.792
93 88 98 90 91 85 82 83 98 82 93 89 92 95 92 94 91 93 91 93 90 92 97 76 83 97 95 89 90 97 89 93 89.464
81 76 80 72 62 72 81 65 85 81 73 87 72 82 81 78 60 52 60 60 60 78 63 60 66 66 60 60 60 74 71 74 70.581
85 89 79 66 75 65 79 85 85 79 60 60 60 79 82 74 88 71 65 88 67 81 89 60 66 66 80 60 63 90 77 82 75.449
82 84 78 81 76 74 87 85 92 87 73 94 82 88 86 76 78 78 81 90 84 89 88 77 73 69 79 86 75 94 85 82 82.642
85 90 87 63 70 72 71 85 89 71 60 60 60 93 80 83 60 62 63 69 60 83 87 60 76 84 65 60 60 97 75 82 71.932
86 78 88 74 68 77 75 73 87 75 60 66 61 93 77 84 60 60 60 67 60 79 85 60 70 86 61 60 60 96 78 80 70.238
91 85 78 76 89 72 77 60 77 77 61 73 66 83 80 88 73 66 74 87 74 89 93 70 78 72 70 66 72 88 83 77 75.83
80 85 90 84 69 64 91 87 90 91 64 73 77 95 81 88 60 60 60 71 60 80 90 60 73 86 61 60 60 80 80 78 72.532
82 94 78 89 90 88 90 82 76 90 93 94 97 94 85 86 93 97 94 94 92 90 95 84 77 87 96 74 75 76 90 85 88.238
81 83 82 83 60 60 72 76 72 72 78 75 69 70 85 71 62 76 60 73 60 87 70 60 78 68 68 60 60 85 77 74 70.776
92 67 91 70 84 77 76 62 78 76 63 71 68 82 92 79 77 72 60 81 60 90 94 60 78 79 60 65 60 85 76 88 74.906
81 80 88 60 60 65 73 79 84 73 60 71 65 93 80 66 62 63 61 85 62 88 92 60 62 89 69 60 60 87 80 73 71.075
80 71 94 71 72 63 72 60 81 72 60 71 60 66 80 69 66 60 60 68 60 82 82 61 70 82 60 60 60 80 77 76 72.551
90 88 87 82 85 80 85 85 79 85 65 84 60 77 83 93 70 72 68 83 77 88 94 73 85 89 70 60 80 94 85 81 80.943
85 79 79 81 77 67 87 71 76 87 72 92 71 85 87 85 81 89 84 75 63 90 93 71 72 80 60 62 76 94 81 83 78.328
90 79 82 83 88 78 86 74 84 86 85 93 90 77 86 73 75 83 85 92 75 87 94 77 85 86 84 90 85 93 91 85 84.543
86 70 92 77 65 60 84 75 91 84 72 82 84 88 85 66 62 65 70 80 80 90 92 72 72 84 72 60 64 94 82 84 75.444
90 92 94 73 86 71 91 89 97 91 73 79 71 60 87 95 61 76 60 86 78 88 94 70 81 99 75 62 71 90 84 82 77.849
87 83 99 69 83 75 74 81 99 74 61 71 60 94 90 94 75 60 63 63 60 85 62 72 82 93 71 60 65 95 80 78 76.226
86 82 84 90 76 80 91 77 90 91 90 89 81 98 83 62 78 85 88 90 81 92 93 77 86 81 88 73 80 97 93 81 84.375
85 80 91 76 75 80 91 77 82 91 66 73 90 84 93 86 60 60 75 84 71 87 87 84 80 86 60 74 60 88 85 85 76.234
85 93 90 83 84 75 81 93 87 81 65 70 80 77 82 92 81 92 86 87 80 92 96 90 70 87 84 78 80 90 84 87 83.562
